message,label
Report mọi post/ thread vi phạm nội quy box f17 tại đây,-1
"Ưu tiên report các bình luận có chứa ngôn từ ""c*c, l*n, b**i...""",1
"Thread chỉ nhận report, nghiêm cấm mọi hành vi spam post, thảo luận/ tranh cãi/ chửi bới... Không tag mod, các mod sẽ liên tục kiểm tra report trong thread, xem xét và giải quyết",-1
"Các vấn đề thắc mắc, khiếu nại liên quan... hãy post ở box , không post ở đây",-1
Thank you all,1
Nói chuyện mất dạy,-1
xin đặt tên,0
"Post in thread 'Đề nghị mod xử lý những thành phân toxic như này' Chửi bậy, đặt tên lãnh tụ",-1
Thằng này spam cơm chưa liên tọi,-1
avatar khiêu dâm,-1
Lập topic nhảm,-1
Post in thread '[Genius] 97 làm kế toán trưởng công ty Nhật',0
thớt nhảm chèn back link,-1
Topic nhảm thường xuyên:,1
"Phân biệt vùng miền, gây war",-1
"hay bác,cho mấy thằng xàm xàm này ra đảo tắt đèn liền",-1
Topic vớ vẩn vô nghĩa,-1
Tâm thần,1
Xin mod xóa topic,0
lập thớt nhảm,-1
tôn giáo,1
Post hình dương v*t,1
"dụ dỗ,lừa gà,cờ bạc,sai box",-1
Hỏi về hoạt động mại dâm,0
"ngoài chủ đề ""from f17 with love""",1
chửi Post in thread 'Ai đi làm thuê cũng muốn học lỏm hay mánh ( nguồn hàng v,-1
v cách bán hàng ) của chủ để ra làm riêng nhỉ?',-1
chửi,-1
Sai box,-1
Ăn nói vô học !,-1
Ngôn từ không phù hợp,-1
Nhờ mod xoá bài do sai box,0
Post chính trị,0
PBVM,0
Xúc phạm,-1
"Quảng cáo dịch vụ, buôn bán ngoại tệ: Quảng cáo mua bán hàng nhạy cảm: Spam bài không qoute:",-1
Thớt phân biệt chủng tộc Thread 'Tại sao không đồng hóa bọn người hoa',0
chửi bới xúc phạm người khác,-1
"Vi phạm: chung chung, cẩu thả trong nội dung Link:",-1
Thớt nhảm,-1
Chửi người khác ngu nhiều lần,-1
Tổ lái không liên quan,-1
Bạn post vào box con from f17 with love ấy,1
"Không đọc nội quy, post bài sai box còn vào đây vi phạm rules #1",1
Ra đảo 1 năm cho nhớ nhé,1
"Nội dung nhảm, ngôn từ",1
thím ơi xem acc của em dc ko,0
"Em có nhắc tới bên xa* nhưng e xóa cmt đó rồi, có người quote lại thôi chứ e đã xóa, vậy mà k biết ai report ??? đã v ăn ban vĩnh viễn",-1
Châm chước dùm e với,0
User này spam link xam ở rất nhiều topic,-1
"Tôi ko biết góp ý ở đâu, lại lười lập topic",0
"Nay tôi tình cờ search gg từ khóa ""voz"" thì ra như này",-1
Các mod kiểm tra lại,0
Mình thử tìm kiếm nhiều lần thì không bị nha bạn:,1
"Junior đăng bài, có mục địch phá hoại gây băng hoại xã hội",-1
"thớt nhảm, kích động chửi bới",-1
Xúc phạm thành viên,-1
"Liên tiếp xúc phạm thành viên, thách thức mod vì mod cho ăn warn",-1
=> tổ lái !,0
Thread đang bình thường tự nhiên vào tổ lái linh tinh,0
Tổ lái,0
"Nội dung kích động, tranh cãi gây nguy hiểm cho voz, mong mod xóa gấp",-1
kích động gây war nhảm,-1
chửi bới xúc phạm thành viên khác,-1
chửi thề tục tĩu xứng đáng ăn ban forever chưa nhỉ,1
ngôn từ thô tục,-1
Admin ơi,0
Máy chủ của Trang Web cỗ máy thời gian của em đang Busy,1
