,comment,label
0,Áo bao đẹp ạ!!,1
1,Tuyệt vời !,1
2,2day ao khong giong trong.,-1
3,"Mùi thơm,bôi lên da mềm da.",1
4,"Vải đẹp, dày dặn.",1
5,"Hàng rất đẹp, rất chi là ưng ý.",1
6,"Chất lượng sản phẩm tốt, date dài.",1
7,Ăn nói và thái độ phục vụ tốt.,1
8,Đóng gói sản phẩm chắc chắn.,1
9,tất sờn hết ca chưa dùng mà vay r.,-1
10,Shop phục vụ rất tốt.,1
11,Mặc thì cũng đc.,0
12,Chất vải khỏi chê.,1
13,Thời gian giao hàng rất nhanh.,1
14,Chất lượng sản phẩm tuyệt vời.,1
15,vải hơi thô cứng Thời gian giao hàng nhanh.,1
16,Chất lượng sp chưa thật sự đẹp nhe shop!,1
17,Rất đáng tiền Thời gian giao hàng rất nhanh.,1
18,Quần rất đẹp mặc vừa vặn.,1
19,Cảm giác mua hàng bị hớ thật tệ!,-1
20,Khi mua về nên đi sửa lại.,-1
21,Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,0
22,Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,1
23,Giá cả chấp nhận được.,1
24,Nchung là rất ổn ❤️.,1
25,"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",1
26,"Chưa mặc nhưng thấy chất dày dặn, nhìn chung là hài lòng.",1
27,😊chất vải đã ok mà hình thì siu ciu luôn í.shop rất nhiệt tình...chịu🤗.,1
28,Giao hàng nhanh.,1
29,Thấy khá okz thanks shop.,1
30,"Chất lượng sản phẩm tuyệt vời,sẽ ủng hộ shop nhiều.",1
31,"Chất lượng sản phẩm tạm được, vải hơi khô và mỏng.",1
32,Hàng hoá lừa đảo.,-1
33,Thời gian giao hàng nhanh.,1
34,Ảnh in đẹp.,1
35,Giá lại rẻ.,1
36,Quần áo super đẹp.,1
37,"Giao hàng thiếu, nt cho shop đã xem mà K có phản hồi gì.",-1
38,Thank shop!,1
39,Tuyệt vời hơn khi mua trên shopee thì được freeship.,1
40,Tiếc là ko đặt thêm mấy chiếc.,1
41,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,1
42,Đồng hồ mua về k sử dụg đc.,-1
43,Chất mềm mịn mát.,1
44,"Giao thiếu 1b 80k , mà im re.",-1
45,Sản phr rất ưng ý.,1
46,Chất lượng sản phẩm tuyệt vời.,1
47,mua lần 2 rồi <3.,1
48,"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực.",-1
49,Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1 .,1
50,99k cũng đáng mua.,1
51,"Quần đẹp, vừa form .",1
52,Giao hàng nhanh.,1
53,"Chất vải xấu, xù.",-1
54,"Sp tạm được, hơi rộng so vs mình.",0
55,"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.",1
56,"Giày nhem nhuốc, ố bẩn + Box nát.",-1
57,"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.",0
58,Đủ số lượng.,1
59,Áo y hình Chất lượng sản phẩm tuyệt vời.,1
60,RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!!,1
61,"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương.",-1
62,Áo sờ chất rất thích.,1
63,"Váy quá đẹp,mặc lên rất tôn da.",1
64,"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ?",1
65,"Giao hàng nhanh, giống hình.",1
66,"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍.",1
67,"Hàng chất lượng tốt, mang đi êm <3.",1
68,Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt .,1
69,Người giao hàng rất có tâm đấy ạ.,1
70,Hàng tốt i như trong hình.,1
71,Giao hàng khá chậm.,-1
72,"Áo đẹp, hơi mỏng.",0
73,Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt.,1
74,"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a.",1
75,Màn hình to và khá là hd.,1
76,Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok.,-1
77,Quần chưa kịp mặc đã bục 1 đoạn.,-1
78,Mình 48kg.,0
79,"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.",1
80,Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .,1
81,Shop còn có quà tặng kèm và thẻ tích điểm.,1
82,Mạng chạy chậm quá.,-1
83,"Vừa khít bụng mình mà không bị hằn,cấn.",1
84,Mua lần 2.,1
85,Chất lượng sản phẩm tốt.,1
86,Rất ưng ý 🤪❤️❤️.,1
87,"Hàng thì siêu yêu, siêu mềm mịn.",1
88,Chất liệu vải tốt so với giá ( 100k).,1
89,Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được.,0
90,"Đóng gói kĩ , áo còn lại đẹp.",1
91,"Giao nhầm hàng , ib shop k trả lời 😓😓😓.",-1
92,"Màu bạc rất sáng, lấp lánh hơn màu hồng.",1
93,"Chất áo dày dặn, form áo đẹp.",1
94,Ống quần bên to bên nhỏ size s và l bằng nhau.,-1
95,Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,1
96,"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok.",1
97,Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ...,0
98,Chất lượng sản phẩm tuyệt vời.,1
99,"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄.",1
100,"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc.",1
101,Giao hàng lâu.,-1
102,Sz 34 mà Khung ngực nhỏ quá.,-1
103,Đóng gói sản phẩm rất đẹp và chắc chắn.,1
104,Hàng y hình rất đẹp ạ ❤️.,1
105,Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém.,-1
106,Bàn tay mỏng nên ko nâng lắm.,-1
107,Đẹp lắm đấy.,1
108,"Áo giống hình, chất vải hơi nóng.",1
109,"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi.",-1
110,Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng.,0
111,Đóng gói sản phẩm rất đẹp và chắc chắc.,1
112,"Thời gian giao hàng rất nhanh, dầy dặn, đẹp.",1
113,có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.,-1
114,"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà.",1
115,Váy còn đẹp và chuẩn hơn trong hình nữa.,1
116,Sz 2 bộ xanh và hồng ko giống nhau.,-1
117,Áo rẻ đẹp phù hợp giá tiền.,1
118,"Áo vải cực đẹp, y hình, có điều to hơn mong đợi....",1
119,Chất lượng sản phẩm tuyệt vời.,1
120,Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp.,1
121,Sản phản mới.Chất lượng sản phẩm tuyệt vời .,1
122,Giao hàng nhanh.👍👍.,1
123,Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại.,1
124,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈.,1
125,Chất ok á..nhưng rep ib thì hơi lâu.,1
126,Luôn ủng hộ shop.,1
127,Âm thanh rất dở.,-1
128,Xấu và nhìn phom áo chán đời luôn.,-1
129,Chất lượng sản phẩm tốt Đáng đồng tiền.,1
130,"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa .",1
131,"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍.",1
132,Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.,-1
133,Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết.,-1
134,Chuẩn hàng Bitis.,1
135,Màu ko đẹp như hình chup.,-1
136,Hàng đẹp giao nhanh.,1
137,"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè.",1
138,Hợp với giá 130k.,1
139,"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.",-1
140,Thời gian giao hàng rất nhanh.,1
141,"Công nghệ hơi lạ, ko biết có bền ko.",0
142,Gối hơi nhỏ.,-1
143,"Áo nhìn xinh , shop nói chuyện cực đáng yêu.",1
144,Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá.,0
145,Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi.,-1
146,Vải oke lắm luôn.,1
